GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
01721	31954435	1389649	12.338	0.537	42.257755	-71.473526
01730	35488956	461054	13.702	0.178	42.499332	-71.281901
01731	2051823	0	0.792	0.	42.456754	-71.279477
01740	51653512	348726	19.944	0.135	42.439933	-71.601885
01741	39560352	643174	15.274	0.248	42.536807	-71.361324
01742	63287924	3359587	24.436	1.297	42.462911	-71.364496
01745	1033539	3023	0.399	0.001	42.292114	-71.499197
01746	48312697	1035601	18.654	0.4	42.195951	-71.45343
01747	13404312	438293	5.175	0.169	42.123007	-71.531404
01748	67922994	4220310	26.225	1.629	42.224096	-71.540489
01749	29854089	881206	11.527	0.34	42.389071	-71.545864
01752	54039296	3201505	20.865	1.236	42.349617	-71.547214
01754	13492063	402677	5.209	0.155	42.425955	-71.456256
01756	46029781	552531	17.772	0.213	42.09387	-71.544519
01757	38578112	706549	14.895	0.273	42.158692	-71.521419
01760	38376080	2588209	14.817	0.999	42.284822	-71.348811
01770	40891303	963644	15.788	0.372	42.231947	-71.372963
01772	35233799	3917459	13.604	1.513	42.302877	-71.530828
01773	35278052	2008895	13.621	0.776	42.425506	-71.310812
01775	44865749	1739913	17.323	0.672	42.429688	-71.512514
01776	62779718	1260703	24.239	0.487	42.383367	-71.42107
01778	39384513	2075865	15.206	0.801	42.356275	-71.361942
01801	32807542	761146	12.667	0.294	42.488703	-71.154383
01803	30326680	294382	11.709	0.114	42.503227	-71.201713
01810	79843394	3436402	30.828	1.327	42.648044	-71.161751
01821	42907187	1018169	16.567	0.393	42.54933	-71.251725
01824	46001868	978920	17.761	0.378	42.59079	-71.355182
01826	53530891	1712217	20.668	0.661	42.679723	-71.30068
01827	42621742	770436	16.456	0.297	42.676149	-71.499772
01830	35804405	3345585	13.824	1.292	42.796313	-71.053436
01832	29526017	1251436	11.4	0.483	42.791114	-71.132859
01833	33305084	747696	12.859	0.289	42.726226	-70.983318
01834	23003482	1334572	8.882	0.515	42.7539	-71.015935
01835	20231051	2291963	7.811	0.885	42.751327	-71.094421
01840	1290376	200631	0.498	0.077	42.706763	-71.160403
01841	7998583	453646	3.088	0.175	42.712015	-71.164873
01843	8737028	637408	3.373	0.246	42.689988	-71.16039
01844	57529356	2020650	22.212	0.78	42.742641	-71.178651
01845	68073959	3709019	26.284	1.432	42.673909	-71.091334
